elements,file_bytes,iteration,write_us,parse_us
512,4140,0,99.96,37.922
512,4140,1,101.393,38.433
512,4140,2,96.053,37.842
512,4140,3,99.73,38.162
512,4140,4,94.8,37.892
512,4140,5,94.8,37.862
512,4140,6,92.325,37.842
512,4140,7,94.029,37.892
512,4140,8,98.497,38.032
512,4140,9,92.716,37.942
512,4140,10,92.997,37.832
512,4140,11,93.969,37.852
512,4140,12,92.125,37.872
512,4140,13,92.766,37.832
512,4140,14,100.792,37.952
32768,262188,0,2667.4,2269.61
32768,262188,1,2608.78,2243.23
32768,262188,2,2609.38,2296.09
32768,262188,3,2576.85,2277.64
32768,262188,4,2614.42,2278.82
32768,262188,5,2723.16,2339.3
32768,262188,6,2838.16,2299.84
32768,262188,7,2710.24,2273.87
32768,262188,8,2671.46,2312.86
32768,262188,9,2632.89,2227.95
32768,262188,10,2600.45,2255.42
32768,262188,11,2621.44,2315.81
32768,262188,12,2858.26,2276.45
32768,262188,13,2607.74,2242.72
32768,262188,14,2841.28,2339.71
131072,1048620,0,9997.26,9133.94
131072,1048620,1,10214.2,9280.57
131072,1048620,2,10155.3,9164.06
131072,1048620,3,9949.35,9148.48
131072,1048620,4,9976.48,9242.72
131072,1048620,5,10138.1,9383.29
131072,1048620,6,10016,9236.26
131072,1048620,7,9925.43,9083.91
131072,1048620,8,10267.3,9244.32
131072,1048620,9,10036.3,9124.23
131072,1048620,10,10039.4,9122.27
131072,1048620,11,9896.11,9102.57
131072,1048620,12,9911.42,9080.86
131072,1048620,13,10035.9,9196.27
131072,1048620,14,10099.8,9181.21
